Google Map Scraping data
Business Name;Address;Website;Phone#
AcademySport;Northumberland Ave, Reading RG2 8DF, United Kingdom;readingleisure.co.uk;+44 118 937 3399;Claim this business
Matt Bryant Personal Training;156 Littlebrook Ave, Burnham, Berkshire, Slough SL2 2NE, United Kingdom;mbpt.co.uk;+44 7834 595322
Nuffield Health Wokingham Fitness & Wellbeing Gym;1 Denmark St, Wokingham RG40 2LD, United Kingdom;nuffieldhealth.com;+44 118 912 0500
Nuffield Health Reading Fitness & Wellbeing Gym;lime square, 240 S Oak Way, Reading RG2 6UL, United Kingdom;nuffieldhealth.com;+44 118 975 0550
Nuffield Health Newbury Fitness & Wellbeing Gym;Racecourse Rd, Newbury RG14 7PN, United Kingdom;nuffieldhealth.com;+44 1635 569944
The Club Co UK Ltd;Bath Rd, Reading RG10 9AL, United Kingdom;theclubcompany.com;+44 844 561 1790;Claim this business
Ironworks Gym Didcot;Harrier Park, Didcot OX11 7PL, United Kingdom
Matthews Bennett Muay Thai;Unit 4 Bridgewater Cl, Reading RG30 1JT, United Kingdom;mbmt.co.uk;+44 7909 866540
Wokingham Leisure Centre @ Carnival Hub;Wellington Rd, Wokingham RG40 2AF, United Kingdom;placesleisure.org;+44 118 977 0007
Snap Fitness Didcot;Unit 4, The orchard centre, Didcot OX11 7LL, United Kingdom;snapfitness.com;+44 1235 814741
Park Club Milton;17 Croft Drive, Park Dr, Milton, Abingdon OX14 4RP, United Kingdom;parkclub.co.uk;+44 1235 206777
Berkshire Fitness;Park Way, Newbury RG14 1EE, United Kingdom;berkshirefitness.co.uk;+44 7736 515281
Strong Girl Squad Windsor;+44 7897 032119
Fitness Experts | Harwell | Bootcamp | Gym | PT;Harwell Campus, Thomson Ave OX11 0RA, United Kingdom;thefitnessexperts.co.uk;+44 1235 612889
Fit2thebeat;fit2thebeat.co.uk;+44 7970 555154
Lake Fitness @ No10;Arlington Business Park, Theale, Reading RG7 4SA, United Kingdom;aroundthelake.co.uk;+44 118 324 0253;Claim this business
Downland Sports Centre;Manor Cres, Compton RG20 6NU, United Kingdom;leisurecentre.com;+44 1635 578866
Move Mind & Body;+44 7784 600360
Buzz Gym London Harrow;Unit C2, St Anns Shopping Centre, Harrow HA1 1AT, United Kingdom;buzzgym.co.uk;+44 20 8125 4180;LGBTQ+ friendly
Basingstoke Sports Centre;Festival Place, Basingstoke RG21 7LE, United Kingdom;better.org.uk;+44 1256 326331
PureGym;10 Union St, Bristol BS1 2DU, United Kingdom;puregym.com;+44 344 477 0005
PureGym;Explore Ln, Bristol BS1 5TY, United Kingdom;puregym.com;+44 345 013 3476
LA Gym;20 Easton Rd, Bristol BS5 0BY, United Kingdom;lagym.uk;+44 117 251 0218
The Gym Group Bristol City Centre;Quakers Friars Cabot Circus Unit LS4A, LS4B, Bristol BS1 3BU, United Kingdom;thegymgroup.com;+44 300 303 4800
Workout Bristol;Brewery Court, North St, Ashton, Bristol BS3 1JS, United Kingdom;workoutbristol.co.uk;+44 117 963 3070
Trojan Fitness;204 S Liberty Ln, Bristol BS3 2TY, United Kingdom;trojanfitness.co.uk;+44 117 966 1683
Snap Fitness Bristol Clifton;Clifton Down Shopping Centre, Whiteladies Rd, Clifton, Bristol BS8 2PH, United Kingdom;snapfitness.com;+44 117 973 5060
Village Gym Bristol;Bullfinch Cl, Filton, Bristol BS34 6FG, United Kingdom;villagegym.co.uk;+44 117 450 7820
Ministry Of Fitness;unit 1, 15 Douglas Rd, Kingswood, Bristol BS15 8NH, United Kingdom;mofgym.co.uk;+44 117 935 3414
Sweat Box Gym;Units 2, 3 Princess St, Bristol BS3 4AG, United Kingdom;sweatboxgym.com
Luxe Fitness Bedminster;1 St Peters Court, Bedminster Parade, Bristol BS3 4AQ, United Kingdom;luxe-fitness.com;+44 117 214 1580
The Gym Group Bristol Avonmeads;Unit 2A, AvonMeads Shopping Park, St Philips Causeway, Bristol BS2 0SP, United Kingdom;thegymgroup.com;+44 300 303 4800
B Pro Fitness • Bristol Gym;13 Brook Gate, Bristol BS3 2UN, United Kingdom;bprofitness.co.uk;+44 117 329 0630
Workout Harbourside;Floating Harbour, Welsh Back, Bristol BS1 4SB, United Kingdom;workoutbristol.co.uk;+44 117 925 5566;LGBTQ+ friendly
Bristol Fitness Gym ltd;139-141 Clouds Hill Rd, Bristol BS5 7LH, United Kingdom;facebook.com;+44 117 378 9197
JD Gyms Bristol;2 Channons Hill, Bristol BS16 2EA, United Kingdom;jdgyms.co.uk;+44 117 370 1860
Nuffield Health Bristol (Clifton) Fitness & Wellbeing Gym;83 Queens Rd, Clifton, Bristol BS8 1QS, United Kingdom;nuffieldhealth.com;+44 117 925 2538
Its Leisure Ltd;23 Wood Rd, Kingswood, Bristol BS15 8DT, United Kingdom;itsleisureltd.co.uk;+44 117 961 3191
Anytime Fitness Bristol;48 Queens Rd, Bristol BS8 1RE, United Kingdom;anytimefitness.co.uk;+44 117 927 7225
Snap Fitness Bristol Ashton Gate;Sainsburys Supermarket, Winterstoke Rd, Bristol BS3 2NS, United Kingdom;snapfitness.com;+44 117 953 5657
GR Fitness;302, 306 Gloucester Rd, Bishopston, Bristol BS7 8PD, United Kingdom;gr-fitness.com;+44 117 924 4354
Bristol Co-operative Gym;St. Anne's House, St Anne's Rd, Brislington, Bristol BS4 4AB, United Kingdom;bristolcooperativegym.org;LGBTQ+ friendly
Precision Health and Fitness (Bristol) Ltd;1 Southway Dr, Bristol BS30 5LW, United Kingdom;precisiongym.co.uk;+44 117 960 4155
BS7 Gym;Seat Unique Stadium, Nevil Rd, Bishopston, Bristol BS7 9EJ, United Kingdom;bs7gym.co.uk;+44 117 910 8016
Base Gym;Base Gym, Hicks Gate, Bath Rd, Brislington, Bristol BS31 2AD, United Kingdom;basegyms.co.uk
LivingWell Health Club;Woodlands Ln, Bradley Stoke, Bristol BS32 4JF, United Kingdom;livingwell.com;+44 1454 893420;Claim this business
PCT Gym;30 Pennywell Rd, St Jude's, Bristol BS5 0TG, United Kingdom;personalcombattraining.co.uk;+44 117 941 3383;LGBTQ+ friendly
The Exercise Club;213 Whiteladies Rd, Redland, Bristol BS8 2XS, United Kingdom;theexerciseclub.co.uk;+44 117 973 9787;Claim this business
Bristol Boxing Gym;The Mill, Lower Ashley Rd, Easton, Bristol BS5 0YJ, United Kingdom;westcountryboxing.com;+44 117 949 6699
TORQUE TRAINING;Unit 7 Lower Guinea St, Redcliffe, Bristol BS1 6FU, United Kingdom;torquetraining.co.uk;+44 7708 456393;LGBTQ+ friendly
Hengrove Park Leisure Centre;Hengrove Promenade, Bristol BS14 0DE, United Kingdom;leisurecentre.com;+44 117 937 0200
Bannatyne Health Club and Spa;80 Redland Rd, Redland, Bristol BS6 6AG, United Kingdom;bannatyne.co.uk;+44 117 942 5805
David Lloyd Bristol Westbury;Greystoke Ave, Westbury on Trym, Bristol BS10 6AZ, United Kingdom;davidlloyd.co.uk;+44 117 959 7140
The Gym Group Bristol Longwell Green;Aspects Leisure Park, Leisure Rd, Hanham, Bristol BS15 9LA, United Kingdom;thegymgroup.com;+44 300 303 4800
Legends Gym;5, The Parade, Bishopsworth, Bristol BS13 8JS, United Kingdom;legends-gym.co.uk
Luxe Fitness Bristol City Centre;Colston Tower, Luxe Fitness Bristol City Centre, Bristol BS1 4UB, United Kingdom;luxe-fitness.com;+44 117 214 1580
OPEX Bristol - The Future of Personal Training;Unit 1, OPEX Fitness, Duckmoor Road Industrial Estate, Duckmoor Rd, Ashton Gate, Bristol BS3 2BJ, United Kingdom;acuityscheduling.com;opexbristol.com;+44 7929 000552
Greenway Centre, Cafe & Gym;Doncaster Rd, Bristol BS10 5PY, United Kingdom;southmead.org;+44 117 950 3335
StrengthLab;7 Lawrence Hill, Bristol BS5 0BY, United Kingdom;strengthlabbristol.co.uk;+44 7587 187802;LGBTQ+ friendly;Identifies as women-owned
The mindset fitness Bristol;Snap fitness, Clifton Down Shopping Centre, Whiteladies Rd, Clifton, Bristol BS8 2PH, United Kingdom;themindsetfit.com;themindsetfitness.wixsite.com;+44 7341 942111
TrainHers;22 Kellaway Ave, Bristol BS6 7XR, United Kingdom;trainhers.co.uk;+44 117 944 6650
Everlast Gyms - Bristol Filton;Fox Den Rd, Stoke Gifford, Bristol BS34 8SP, United Kingdom;everlastgyms.com;+44 117 313 1394
@theGym / The Gym Revolution;Blackfriars Rd, Nailsea, Bristol BS48 4DJ, United Kingdom;atthegym.co.uk;+44 7415 983992;Identifies as women-owned
The Warrior Programme;The Warrior Gym, Unit 1 Boxworks, Clock Tower Yard, Temple Gate, Bristol BS1 6QH, United Kingdom;10to8.com
Infinity Pro Fitness Gym;Maygar House, Broad St, Staple Hill, Bristol BS16 5LT, United Kingdom;infinityprofitness.co.uk;+44 117 239 0352;Claim this business
South Bristol Sports Centre;W Town Ln, Brislington, Bristol BS14 9EA, United Kingdom;imperialsportsground.co.uk;+44 117 903 8681;Claim this business
Kingswood Leisure Centre;Church Rd, Staple Hill, Bristol BS16 4RH, United Kingdom;activecentres.org;+44 300 333 0300
Merchants' Academy Sports Centre;Molesworth Dr, Bristol BS13 9BJ, United Kingdom;masportscentre.co.uk;+44 117 301 5006
Personal Training Bristol | Tabaka Fitness;tabakafitness.com;+44 7951 514058
Personal Training Bristol | Tabaka Fitness;40 Winterstoke Rd, Bristol BS3 2NW, United Kingdom;rockgympro.com;redpointbristol.co.uk;+44 117 332 2222
Gymset | Personal Trainer Space in Bristol;3a Boyce's Ave, Clifton, Bristol BS8 4AA, United Kingdom;thegymset.com;+44 7399 560968
605 Fitness (OPEX Fitness Bristol);Unit 1, Duckmoor Road Industrial Estate, Duckmoor Rd, Ashton, Bristol BS3 2BJ, United Kingdom;opexbristol.com;+44 7929 000552
The Fitness Yard;67 Henleaze Rd, Henleaze, Bristol BS9 4JT, United Kingdom;the-fitnessyard.co.uk;+44 7830 594246
Anytime Fitness;Savages Wood Rd, Bradley Stoke, Bristol BS32 8BS, United Kingdom;anytimefitness.co.uk;+44 117 927 7225
Combat Warriors;Easton Rd, Bristol BS5 0BY, United Kingdom;combatwarriors.co.uk;+44 7403 171851
4 Core Fitness ltd;15 Hampton Ln, Redland, Bristol BS6 6LE, United Kingdom;4corefitness.uk;+44 117 322 4157
Anytime Fitness Yate;17, East Walk, Yate Shopping Centre, Yate, Bristol BS37 4AP, United Kingdom;anytimefitness.co.uk;+44 117 927 7225
MOHIITO;The Workshop, Hampton Ln, Redland, Bristol BS6 6LE, United Kingdom;mohiito.com;+44 7360 269888
Bloc Indoor Climbing Wall;2 New Gatton Rd, Easton, Bristol BS2 9SH, United Kingdom;blocclimbing.co.uk;+44 117 955 8508
The Bank Fitness;73 Henleaze Rd, Henleaze, Bristol BS9 4JS, United Kingdom;thebankfitness.co.uk;+44 117 244 0333
The Club and Spa;Frost Hill, Congresbury, Bristol BS49 5AD, United Kingdom;Menu
mpwrestaurants.co.uk;theclubandspabristol.co.uk;+44 1934 834343
Bristol Krav Maga (KMG) City Centre;Cathedral Choir School, College Square, Bristol BS1 5TS, United Kingdom;bristolkravmaga.com
Jubilee Swimming Pool;Jubilee Rd, Knowle, Bristol BS4 2LP, United Kingdom;leisurecentre.com;+44 117 304 8180
Grace Fitness;Clifton Arcade, 3a Boyce's Ave, Clifton, Bristol BS8 4AA, United Kingdom;grace-fitness.com
Train Like TeamGB - The Gym Group Bristol;LS4A & LS4B, Cabot Circus, Quakers Friars, Broadmead, Bristol BS1 3BU, United Kingdom;trainliketeamgb.com;+44 7526 649544
Somerdale Pavilion;Cross Street, Keynsham, Bristol BS31 2FW, United Kingdom;somerdalepavilion.org.uk;+44 117 986 5787
Knight Nutrition and Fitness;112A, Central Park, Petherton Rd, Hengrove, Bristol BS14 9BZ, United Kingdom;knightnutritionandfitness.co.uk;+44 117 403 0435
The Climbing Academy - "The Mothership";Charlton St, Bristol BS5 0FD, United Kingdom;theclimbingacademy.com;+44 117 907 2956
CrossFit Clifton;42 Pembroke Rd, Clifton, Bristol BS8 3BQ, United Kingdom;linktr.ee;prfitnessbristol.com;+44 7785 614511
